already embedded for 'summary_only': 232 (will skip)
loading Qwen/Qwen3-Embedding-4B (bf16) ...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights: 100%|██████████| 398/398 [00:00<00:00, 9503.31it/s]
model loaded
[batch 1] 32 embedded, 0 truncated, 0.9s elapsed, 36.48 docs/s
[batch 2] 64 embedded, 0 truncated, 1.0s elapsed, 62.56 docs/s
[batch 3] 96 embedded, 0 truncated, 1.2s elapsed, 79.95 docs/s
[batch 4] 128 embedded, 0 truncated, 1.3s elapsed, 95.17 docs/s
[batch 5] 160 embedded, 0 truncated, 1.5s elapsed, 107.34 docs/s
[batch 6] 192 embedded, 0 truncated, 1.6s elapsed, 117.28 docs/s
[batch 7] 224 embedded, 0 truncated, 1.8s elapsed, 122.63 docs/s
[batch 8] 256 embedded, 0 truncated, 2.0s elapsed, 128.79 docs/s
[batch 9] 288 embedded, 0 truncated, 2.2s elapsed, 132.91 docs/s
[batch 10] 320 embedded, 0 truncated, 2.5s elapsed, 126.81 docs/s
[batch 11] 352 embedded, 0 truncated, 2.7s elapsed, 131.32 docs/s
[batch 12] 384 embedded, 0 truncated, 2.9s elapsed, 133.21 docs/s
[batch 13] 416 embedded, 0 truncated, 3.0s elapsed, 136.90 docs/s
[batch 14] 448 embedded, 0 truncated, 3.2s elapsed, 141.34 docs/s
[batch 15] 480 embedded, 0 truncated, 3.3s elapsed, 143.78 docs/s
[batch 16] 512 embedded, 0 truncated, 3.6s elapsed, 141.69 docs/s
[batch 17] 544 embedded, 0 truncated, 3.8s elapsed, 143.48 docs/s
[batch 18] 576 embedded, 0 truncated, 3.9s elapsed, 145.91 docs/s
[batch 19] 608 embedded, 0 truncated, 4.1s elapsed, 148.53 docs/s
[batch 20] 640 embedded, 0 truncated, 4.3s elapsed, 149.52 docs/s
[batch 21] 672 embedded, 0 truncated, 4.4s elapsed, 152.30 docs/s
[batch 22] 704 embedded, 0 truncated, 4.6s elapsed, 154.12 docs/s
[batch 23] 736 embedded, 0 truncated, 4.7s elapsed, 155.08 docs/s
[batch 24] 768 embedded, 0 truncated, 4.9s elapsed, 156.31 docs/s
[batch 25] 800 embedded, 0 truncated, 5.1s elapsed, 157.47 docs/s
[batch 26] 832 embedded, 0 truncated, 5.2s elapsed, 159.59 docs/s
[batch 27] 864 embedded, 0 truncated, 5.4s elapsed, 160.92 docs/s
[batch 28] 896 embedded, 0 truncated, 5.5s elapsed, 161.85 docs/s
[batch 29] 928 embedded, 0 truncated, 5.7s elapsed, 162.36 docs/s
[batch 30] 960 embedded, 0 truncated, 5.9s elapsed, 163.48 docs/s
[batch 31] 992 embedded, 0 truncated, 6.0s elapsed, 164.84 docs/s
[batch 32] 1024 embedded, 0 truncated, 6.2s elapsed, 164.93 docs/s
[batch 33] 1056 embedded, 0 truncated, 6.4s elapsed, 165.89 docs/s
[batch 34] 1088 embedded, 0 truncated, 6.5s elapsed, 166.48 docs/s
[batch 35] 1120 embedded, 0 truncated, 6.7s elapsed, 167.39 docs/s
[batch 36] 1152 embedded, 0 truncated, 6.8s elapsed, 168.49 docs/s
[batch 37] 1184 embedded, 0 truncated, 7.1s elapsed, 167.34 docs/s
[batch 38] 1216 embedded, 0 truncated, 7.3s elapsed, 167.61 docs/s
[batch 39] 1248 embedded, 0 truncated, 7.4s elapsed, 167.89 docs/s
[batch 40] 1280 embedded, 0 truncated, 7.6s elapsed, 167.87 docs/s
[batch 41] 1312 embedded, 0 truncated, 7.8s elapsed, 169.12 docs/s
[batch 42] 1344 embedded, 0 truncated, 7.9s elapsed, 170.05 docs/s
[batch 43] 1376 embedded, 0 truncated, 8.1s elapsed, 170.72 docs/s
[batch 44] 1408 embedded, 0 truncated, 8.2s elapsed, 171.08 docs/s
[batch 45] 1440 embedded, 0 truncated, 8.4s elapsed, 171.67 docs/s
[batch 46] 1472 embedded, 0 truncated, 8.6s elapsed, 170.66 docs/s
[batch 47] 1504 embedded, 0 truncated, 8.8s elapsed, 170.39 docs/s
[batch 48] 1536 embedded, 0 truncated, 9.1s elapsed, 168.62 docs/s
[batch 49] 1568 embedded, 0 truncated, 9.2s elapsed, 169.66 docs/s
[batch 50] 1600 embedded, 0 truncated, 9.4s elapsed, 170.42 docs/s
[batch 51] 1632 embedded, 0 truncated, 9.5s elapsed, 171.16 docs/s
[batch 52] 1664 embedded, 0 truncated, 9.7s elapsed, 171.06 docs/s
[batch 53] 1696 embedded, 0 truncated, 9.9s elapsed, 171.79 docs/s
[batch 54] 1728 embedded, 0 truncated, 10.0s elapsed, 172.47 docs/s
[batch 55] 1760 embedded, 0 truncated, 10.2s elapsed, 172.17 docs/s
[batch 56] 1792 embedded, 0 truncated, 10.4s elapsed, 172.85 docs/s
[batch 57] 1824 embedded, 0 truncated, 10.5s elapsed, 173.13 docs/s
[batch 58] 1856 embedded, 0 truncated, 10.7s elapsed, 173.60 docs/s
[batch 59] 1888 embedded, 0 truncated, 10.8s elapsed, 174.20 docs/s
[batch 60] 1920 embedded, 0 truncated, 11.0s elapsed, 174.29 docs/s
[batch 61] 1952 embedded, 0 truncated, 11.2s elapsed, 174.51 docs/s
[batch 62] 1984 embedded, 0 truncated, 11.4s elapsed, 174.59 docs/s
[batch 63] 2016 embedded, 0 truncated, 11.5s elapsed, 175.15 docs/s
[batch 64] 2048 embedded, 0 truncated, 11.7s elapsed, 175.55 docs/s
[batch 65] 2080 embedded, 0 truncated, 11.9s elapsed, 175.39 docs/s
[batch 66] 2112 embedded, 0 truncated, 12.1s elapsed, 175.12 docs/s
[batch 67] 2144 embedded, 0 truncated, 12.3s elapsed, 174.84 docs/s
[batch 68] 2176 embedded, 0 truncated, 12.4s elapsed, 175.56 docs/s
[batch 69] 2208 embedded, 0 truncated, 12.6s elapsed, 175.44 docs/s
[batch 70] 2240 embedded, 0 truncated, 12.7s elapsed, 175.94 docs/s
[batch 71] 2272 embedded, 0 truncated, 12.9s elapsed, 176.30 docs/s
[batch 72] 2304 embedded, 0 truncated, 13.2s elapsed, 175.17 docs/s
[batch 73] 2336 embedded, 0 truncated, 13.3s elapsed, 175.10 docs/s
